"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"ahmesie";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"aires";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"ajas";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"ajent";0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0
"ajgajona";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"ajgist";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"ajgista";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"ajgistem";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"ajgistos";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"ajgyptios";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"akacja";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"akademia";0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0
"akapit";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"akcent";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;4;1;0
"akceptowaä‡";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"akcesorium";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"akcja";0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"akihita";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akihito";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akolita";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akord";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"akrobata";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"akronim";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"aksamitny";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aksjomat";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"akt";0;0;0;2;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
"aktor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"aktorzyna";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aktualizacja";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aktualizowaä‡";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"aktualny";0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0
"aktywacja";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0
"aktywista";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"aktywizacja";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aktywniej";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"aktywnoĺ›ä‡";0;0;1;0;0;0;0;0;1;2;0;0;0;0;23;1;0;0;0;0
"aktywny";0;0;0;0;0;0;1;0;1;0;0;0;0;0;5;1;0;1;1;0
"aktywowaä‡";0;0;0;3;0;3;2;0;0;0;0;0;0;0;0;0;0;2;0;0
"aktywujä…c";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"akurat";0;0;1;1;1;0;0;0;4;1;1;0;0;0;6;0;0;0;0;0
"akustyczny";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"akwarium";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"ala";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"alain";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alais";0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alamagodro";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"alan";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"alarm";0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;3;3;0
"alarmowy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"alasce";0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0
"alaskaĺ„ski";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"alaski";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"albedo";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"alboĺ›";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"alboĺľ";0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"albowiem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
"album";0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"ăłcz";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"aleja";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"aleks";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;0
"aleksa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"aleksander";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"aleksandra";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"aleksandriä…";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aleksandrii";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"aleksandrowi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"aleksem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"aleksowi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"aleĺľ";0;3;0;0;0;0;0;0;0;0;2;3;0;0;1;0;2;0;0;0
"alem";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alfabet";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"alfabetyczny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"algă¨bre";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"algebra";0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
"algierka";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"algorytm";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
"aliä‡";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"alkierz";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alkmen";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"alkohol";0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0
"alkoholik";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alkoholowy";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"all";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aĺľe";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aĺľeby";1;12;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;1
"aĺľebyĺ›";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aĺľebym";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"almanach";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alone";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"ăłsemka";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"ăłsma";0;0;0;0;0;0;0;0;0;0;7;0;0;0;4;0;0;0;0;0
"ăłsmy";0;0;0;0;0;0;4;0;0;0;1;0;0;0;1;2;0;0;0;0
"altăłwka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"alternatywa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"alternatywny";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"ăłw";0;0;1;0;0;0;0;0;8;3;1;1;4;0;0;0;3;0;0;1
"ăłwczesny";0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;1
"ăłwdzie";0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
"amator";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"amazing";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amazingly";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amazoniä™";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"amazonii";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"ambaras";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"ambicja";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
"ambitny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
"ambroĺľy";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambrozja";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambulatorium";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"ambumed";0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambumedem";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambumedu";0;0;0;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambumedzie";0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"amenhotepa";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ameryk";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"amerykaĺ„ski";0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0
"amerykaĺ„skie";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"amerykany";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"amfora";0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
"amona";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12;12;0
"amosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0
"amosem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"amosowi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"amper";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"amputowaä‡";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amulet";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amunicja";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"amy";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"anabaza";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
"anabazä™";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"anabazie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
"anabazy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
"anabazys";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"anachronizm";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"anaktuvuk";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"analityczny";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"analiza";0;0;0;3;5;2;0;0;1;2;0;0;0;0;1;0;0;1;0;1
"analizowaä‡";0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"analizujä…c";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"analogia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"analogiczny";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"analogowy";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"anarchistyczny";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"anchiala";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"and";0;0;6;0;2;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0
"andrassy";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"andrew";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"andromeda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"anemotrii";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"angaĺľowaä‡";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
