"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"bądź";0;0,00133539771264882;0,00202318772997023;0,000404211611735105;0,000861955176539506;0;0;0,000882085063893606;0;0,000615057711396183;0,00174943522163257;0;0,0026301440489613;0;0;0;0,00196683454978423;0;0;0
"bakteria";0;0;0,00096135075313179;0;0;0;0;0;0;0;0;0;0;0;0,00117845666056672;0;0;0;0,000913844939621438;0
"bandyta";0;0,00211512024278687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000916906396705597;0,000913844939621438;0
"banka";0;0;0;0;0;0,00130393787239934;0;0;0;0,00146127367547582;0;0;0;0;0,00029461416514168;0;0;0;0;0
"bańka";0;0;0;0;0;0;0;0;0;0;0,00103909096209803;0;0;0;0;0,00103790883358597;0;0,00183381279341119;0;0
"bardziej";0;0,00016036997653742;0,000583122584164164;0,000291254385458838;0,000931621771669683;0,000988655310335502;0,000709465810733066;0;0,00152307339184897;0,00132953817174216;0,000472707857948569;0;0;0,00121939436219746;0,000893514530202032;0,000472170078815522;0,000303685975082081;0,000973287267990588;0,000692883972084881;0
"bariera";0;0;0,000815570107090749;0;0,000868659968158385;0;0;0;0,000387310774793555;0;0;0;0;0;0,000249938438631578;0;0;0;0;0
"bark";0;0;0;0,00140350877192982;0,000748222970445193;0;0,00113960113960114;0,000765696784073507;0;0;0;0;0,00114155251141553;0;0;0;0;0;0;0
"barwa";0,000490054816051173;0,00166633785983397;0,000302949236477016;0;0;0,000410908278346863;0;0;0,00115095443035872;0;0;0,000474420503987935;0;0,000230367648571064;0;0,000327074886708405;0,000210364994207333;0,00028894354313235;0;0,000356109197460803
"barwy";0,00113636363636364;0,000772797527047913;0;0;0;0;0,00113960113960114;0;0,00100083402835696;0;0,000759301442672741;0;0;0;0;0;0;0;0;0
