"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"bałwan";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
"banan";0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
"banda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"bandyta";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"banka";0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"bańka";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0
"barak";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"baran";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"barbarzyński";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"bardziej";0;1;4;2;6;5;3;0;22;6;3;0;0;11;20;3;3;7;5;0
"barger";0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0
"bariera";0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"bark";0;0;0;2;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
"baron";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"barwa";1;5;1;0;0;1;0;0;8;0;0;2;0;1;0;1;1;1;0;1
"barwić";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"barwny";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"barwy";1;1;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0
"bas";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"baśń";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"basowy";0;0;0;1;0;0;2;0;0;0;0;4;0;0;0;0;0;0;1;0
"bateria";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"bawić";1;0;1;0;1;0;0;2;0;0;1;1;1;2;1;1;1;0;2;2
"baza";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0
"beczka";1;1;0;0;0;0;11;0;0;0;3;2;0;0;0;0;0;0;0;0
"będąc";0;1;2;0;0;0;0;0;0;1;0;0;0;2;3;1;1;0;1;0
"będąca";0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"będącą";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"będącej";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"będę";1;0;1;1;4;2;0;1;0;5;0;3;1;1;4;1;0;1;1;0
"będziecie";1;0;0;0;0;0;0;1;1;0;1;0;0;2;0;0;0;0;1;0
"będziem";0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0
"będziemy";0;1;1;1;1;1;5;0;4;2;0;1;0;0;1;3;0;0;2;0
"będziesz";0;3;1;0;2;0;0;2;0;0;2;2;0;0;0;1;11;3;0;0
"belka";2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"bełkot";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"bełkotliwy";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"berło";0;0;0;0;0;0;0;13;0;0;0;0;6;0;0;0;0;0;0;0
"bestia";0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0
"bezbrzeżny";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"bezcelowy";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"beze";0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
"bezgraniczny";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"bezkarny";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"bezkres";0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bezładny";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"bezmiar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
"bezmyślny";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"bezosobowy";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"bezpieczeństwo";0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;3;0
"bezpieczny";0;2;4;2;1;2;0;3;1;0;0;0;0;0;3;0;0;2;1;1
"bezpośredni";0;0;0;0;0;0;0;0;6;1;0;1;0;2;2;0;1;0;0;1
"bezpowrotny";0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"bezradny";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"bezruch";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"bezsenność";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"bezskuteczny";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"beztroski";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"bezwarunkowy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"bezwzględny";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"biada";0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"biała";5;1;2;0;1;0;0;1;0;0;1;9;0;0;0;0;0;0;1;0
"białe";5;3;0;0;1;0;0;1;4;0;2;2;2;1;1;1;0;2;1;0
